Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date
AfTaab Investment Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
JAMSETJI TATA TRUST Mr RN Tata Mr Vijay Sing,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
FIIs,12.46,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
DIIs,9.8,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Life Insurance Corporation of India,4.63,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
SBI Nifty 50 Etf,1.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Government,0.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Public,5.38,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Jun 2023,01-06-2023
Promoters,72.3,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Tata Sons Private Limited,72.27,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
JAMSETJI TATA TRUST Mr RN Tata Mr Vijay Sing,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
FIIs,12.47,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
DIIs,10.01,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
LIC of India,4.81,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
SBI Nifty 50 Etf,1.04,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Government,0.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Public,5.17,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Sep 2023,01-09-2023
Promoters,72.41,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Tata Sons Private Limited,72.38,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
NAVAJBAI RATAN TATA TRUST Mr RN Tata Mr Vija,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
JAMSETJI TATA TRUST Mr RN Tata Mr Vijay Sing,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
FIIs,12.46,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
DIIs,10.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
LIC of India,4.84,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
SBI Nifty 50 Etf,1.01,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Government,0.05,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Public,5.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Dec 2023,01-12-2023
Promoters,71.77,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Tata Sons Private Limited,71.74,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Tata Investment Corporation Limited,0.03,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Tata Industries Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Tata Capital Ltd,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
The Tata Power Company Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Tata Steel Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
Tata International Limited,0.0,532540,TCS,4502.0,16288450000000.0,3618047534.429144,Mar 2024,01-03-2024
