,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,ch
468206,Ramesh Kumar Bangur,0.75,542123,,158.0,568000000.0,3594936.70886076,Jun 2024,01-06-2024,up
468682,Jsw Steel Limited,4.88,533148,JSWENERGY,704.0,1230170000000.0,1747400568.1818182,Jun 2024,01-06-2024,up
469612,Balakrishnan K G Mr,10.08,500239,,26.8,686000000.0,25597014.925373133,Jun 2024,01-06-2024,up
474446,Rajesh Sharma,22.26,531595,CGCL,216.0,177860000000.0,823425925.925926,Jun 2024,01-06-2024,up
475527,Vandana Somani,0.72,524280,KOPRAN,309.0,14920000000.0,48284789.64401294,Jun 2024,01-06-2024,up
475717,Adani Tradeline Private Limited,8.75,539254,ADANIENSOL,1066.0,1280150000000.0,1200891181.988743,Jun 2024,01-06-2024,up
476914,Dalmia Bharat Refractories Limited,1.7,542216,DALBHARAT,1804.0,338350000000.0,187555432.37250555,Jun 2024,01-06-2024,up
477481,Yash Ashok Mehta,5.02,531539,,37.3,205000000.0,5495978.55227882,Jun 2024,01-06-2024,up
477597,Vidul Gupta,1.22,531255,,72.1,306000000.0,4244105.409153953,Jun 2024,01-06-2024,up
480745,Naresh Kumar,28.88,544023,,409.0,2940000000.0,7188264.058679706,Jun 2024,01-06-2024,up
483305,Dhairya Agrawal,0.15,532892,MOTILALOFS,762.0,454950000000.0,597047244.0944881,Jun 2024,01-06-2024,up
483785,Panna Lal Jain,12.79,541178,,16.6,294000000.0,17710843.373493973,Jun 2024,01-06-2024,up
485760,Hina Abbas,5.57,531158,,25.1,137000000.0,5458167.33067729,Jun 2024,01-06-2024,up
487867,Shefali Chintan Parikh,15.04,514286,ASHIMASYN,37.7,7230000000.0,191777188.32891247,Jun 2024,01-06-2024,up
490107,Balaji Trading Enterprises Pvt Ltd,19.31,530931,,12.3,75000000.0,6097560.975609756,Jun 2024,01-06-2024,up
490962,Suhasini Spinners Limited,5.17,521178,,77.7,553000000.0,7117117.117117117,Jun 2024,01-06-2024,up
492491,Ranjana Francis Koli,0.95,526508,,24.2,351000000.0,14504132.231404958,Jun 2024,01-06-2024,up
494793,Ravi Agrawal,39.22,541206,OBCL,61.1,1290000000.0,21112929.62356792,Jun 2024,01-06-2024,up
498553,President Of India,51.92,532155,GAIL,229.0,1508790000000.0,6588602620.087337,Jun 2024,01-06-2024,up
498896,Kailash Kumar Agarwal,30.19,502873,,158.0,621000000.0,3930379.746835443,Jun 2024,01-06-2024,up
500435,Sajeve Bhushan Deora,51.09,539149,,4.34,154000000.0,35483870.96774194,Jun 2024,01-06-2024,up
500554,Gabs Investments Pvt Ltd,10.08,532331,AJANTPHARM,3002.0,375030000000.0,124926715.52298468,Jun 2024,01-06-2024,up
501093,Jayeshkumar Kantilal Patel,7.33,531257,,22.2,124000000.0,5585585.585585586,Jun 2024,01-06-2024,up
502152,Ramarao Atchuta Mullapudi,59.22,531225,,37.1,4940000000.0,133153638.81401616,Jun 2024,01-06-2024,up
503890,Shishirkumar Bajaj  Kushagra Bajaj As Trustees O,0.16,500032,BAJAJHIND,40.7,51940000000.0,1276167076.167076,Jun 2024,01-06-2024,up
504134,Ashika Global Securities Private Limited,30.24,543766,,234.0,2780000000.0,11880341.88034188,Jun 2024,01-06-2024,up
504232,Smruthi Purushotham Eaga,0.78,540686,,146.0,1670000000.0,11438356.164383562,Jun 2024,01-06-2024,up
504425,D Vijay Sen Reddy,31.39,531746,PRAENG,42.1,2940000000.0,69833729.21615201,Jun 2024,01-06-2024,up
506509,Anutham Realty Private Limited,24.91,500302,PEL,1051.0,237000000000.0,225499524.26260704,Jun 2024,01-06-2024,up
507678,Shri Kumar Mangalam Birla,0.1,532538,ULTRACEMCO,11342.0,3274350000000.0,288692470.463763,Jun 2024,01-06-2024,up
509235,Promila Aggarwal,2.1,530759,STERTOOLS,526.0,18950000000.0,36026615.969581746,Jun 2024,01-06-2024,up
511730,Akhil Mahajan,5.2,521226,,26.5,219000000.0,8264150.943396226,Jun 2024,01-06-2024,up
515181,Prafulla Lalit Shah,14.47,506260,,216.0,10820000000.0,50092592.59259259,Jun 2024,01-06-2024,up
518118,N N Wadia Admin Of Estate Of Lt Ef Dinshaw,0.34,501425,BBTC,2527.0,176310000000.0,69770478.82865058,Jun 2024,01-06-2024,up
521098,Sunanda Jain,74.74,543251,RVHL,59.3,3640000000.0,61382799.32546375,Jun 2024,01-06-2024,up
