,Promoter,Share,BSE Code,NSE Code,Price,MCap,TotalShares,CaptureDate,Date,Share_Change%,ch
255620,Neha Saraf,0.19,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
255621,Neha Saraf,0.19,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
255622,Neha Saraf,0.19,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
255623,Neha Saraf,0.18,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-5.26315789473685,Down
255624,Neha Saraf,0.18,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
255625,Neha Saraf,0.17,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-5.55555555555555,Down
267012,Nutrela Marketing Private Limited,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
267013,Nutrela Marketing Private Limited,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
267014,Nutrela Marketing Private Limited,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2022,2022-01-06,0.0,EQUAL
267015,Nutrela Marketing Private Limited,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2022,2022-01-09,0.0,EQUAL
267016,Nutrela Marketing Private Limited,0.58,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2022,2022-01-12,0.0,EQUAL
267017,Nutrela Marketing Private Limited,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,-3.44827586206895,Down
267018,Nutrela Marketing Private Limited,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
267019,Nutrela Marketing Private Limited,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
267020,Nutrela Marketing Private Limited,0.56,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
267021,Nutrela Marketing Private Limited,0.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-5.35714285714286,Down
267022,Nutrela Marketing Private Limited,0.53,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
267023,Nutrela Marketing Private Limited,0.51,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-3.77358490566038,Down
280222,Patanjali Foods Limited,12.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2023,2023-01-03,,EQUAL
280223,Patanjali Foods Limited,12.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2023,2023-01-06,0.0,EQUAL
280224,Patanjali Foods Limited,12.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Sep 2023,2023-01-09,0.0,EQUAL
280225,Patanjali Foods Limited,12.63,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2023,2023-01-12,0.0,EQUAL
280226,Patanjali Foods Limited,9.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2024,2024-01-03,-23.1987331749802,Down
280227,Patanjali Foods Limited,9.7,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Jun 2024,2024-01-06,0.0,EQUAL
280228,Patanjali Foods Limited,9.24,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Aug 2024,2024-01-08,-4.74226804123711,Down
290176,Pradeep C Limdi Trustee of Indivar Foundation,7.31,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Dec 2021,2021-01-12,,EQUAL
290177,Pradeep C Limdi Trustee of Indivar Foundation,7.31,509020,RUCHINFRA,16.7,3750000000,224550898.203593,Mar 2022,2022-01-03,0.0,EQUAL
